sample_date,am_count,wc_count,origin_lat,origin_lon,destination_lat,destination_lon,arrival_time,scheduled_pickup,time_diff
2024-12-11,1,0,2219,1856,1626,210,16523,23723,7200
2024-12-11,1,0,1570,1550,456,2291,16653,22019,5366
2024-12-11,1,0,484,596,2109,270,16687,22323,5636
2024-12-11,1,0,806,149,860,2377,16770,16770,0
2024-12-11,1,0,1541,1860,1423,910,16967,17417,450
2024-12-11,1,0,2333,770,1267,1906,17175,22097,4922
2024-12-11,1,0,1667,1850,1436,222,17374,21460,4086
2024-12-11,1,0,1479,913,1629,2134,17621,23552,5931
2024-12-11,1,0,507,1947,727,1427,17868,22676,4808
2024-12-11,1,0,1667,1253,2196,447,18000,18000,0
2024-12-11,1,0,1484,2366,868,1439,18000,22519,4519
2024-12-11,1,0,1725,1823,247,1333,18116,21557,3441
2024-12-11,1,0,525,2327,2160,517,18363,25563,7200
2024-12-11,1,0,1830,1219,72,537,18751,19196,445
2024-12-11,1,0,2342,1492,334,849,19466,24104,4638
2024-12-11,1,0,1829,1175,1088,841,19840,20638,798
2024-12-11,1,0,1820,2155,2413,321,19842,22514,2672
2024-12-11,1,0,246,2071,1535,1975,19928,21746,1818
2024-12-11,1,0,2100,976,2277,2259,20180,21385,1205
2024-12-11,1,0,909,1542,1357,52,20217,27417,7200
2024-12-11,1,0,2215,1270,166,1263,20359,22110,1751
2024-12-11,1,0,1334,7,1849,288,20369,23445,3076
2024-12-11,1,0,1641,888,1926,1594,20412,20596,184
2024-12-11,1,0,2113,1553,1552,1514,20416,24382,3966
2024-12-11,1,0,382,1965,2125,2047,20720,21359,639
2024-12-11,1,0,401,1668,795,479,20769,20908,139
2024-12-11,1,0,382,1366,477,1427,20851,25302,4451
2024-12-11,1,0,1973,2188,1057,2439,21358,24605,3247
2024-12-11,1,0,2253,2224,690,1336,21593,28793,7200
2024-12-11,1,0,107,716,593,287,21600,28800,7200
2024-12-11,1,0,876,1246,2392,929,21600,26184,4584
2024-12-11,1,0,695,1241,653,2347,21838,22757,919
2024-12-11,1,0,1915,1309,389,1414,21933,29133,7200
2024-12-11,1,0,1074,1634,514,1889,21972,23024,1052
2024-12-11,1,0,1771,1954,91,2380,21977,26549,4572
2024-12-11,1,0,18,2264,1347,2260,21991,26625,4634
2024-12-11,1,0,2151,175,493,314,22219,23600,1381
2024-12-11,1,0,1687,1407,2394,1330,22340,25543,3203
2024-12-11,1,0,511,1700,571,1904,22494,29694,7200
2024-12-11,1,0,1469,2499,607,2302,22948,23421,473
2024-12-11,1,0,2348,1808,33,202,23876,29862,5986
2024-12-11,1,0,849,446,1263,1351,23925,28484,4559
2024-12-11,1,0,787,1492,1720,1703,24143,25071,928
2024-12-11,1,0,132,1920,764,1837,24204,26584,2380
2024-12-11,1,0,281,1132,2001,265,24208,24693,485
2024-12-11,1,0,1567,1045,277,1017,24492,24492,0
2024-12-11,1,0,481,478,1973,1020,24569,30082,5513
2024-12-11,1,0,53,2251,1882,450,24666,30636,5970
2024-12-11,1,0,1013,2368,1411,1531,24844,26522,1678
2024-12-11,1,0,1641,1847,1371,78,25200,26926,1726
2024-12-11,1,0,1761,2153,532,1582,25200,30496,5296
2024-12-11,1,0,1284,2424,309,1295,25224,27120,1896
2024-12-11,1,0,1375,494,25,669,25366,29843,4477
2024-12-11,1,0,127,2115,443,2141,25394,28537,3143
2024-12-11,1,0,733,1612,2086,1269,25640,32522,6882
2024-12-11,1,0,1790,1335,837,1600,25739,28583,2844
2024-12-11,1,0,1025,1052,163,1736,25901,30295,4394
2024-12-11,1,0,505,345,160,2474,25941,30261,4320
2024-12-11,1,0,936,1232,517,2021,25971,28875,2904
2024-12-11,1,0,74,1433,1849,938,26102,30390,4288
2024-12-11,1,0,1039,1582,1941,2258,26188,31900,5712
2024-12-11,1,0,1280,2336,2377,1321,26739,33658,6919
2024-12-11,1,0,1328,2059,826,2265,27022,27431,409
2024-12-11,1,0,42,1320,2441,1674,27291,34480,7189
2024-12-11,1,0,2040,1677,1159,1746,27748,33822,6074
2024-12-11,1,0,1582,677,1197,1156,27765,31902,4137
2024-12-11,1,0,705,1846,1911,2076,27922,29695,1773
2024-12-11,1,0,1598,288,904,699,28094,30675,2581
2024-12-11,1,0,983,1634,1124,1820,28732,32165,3433
2024-12-11,1,0,1084,129,1187,1032,28800,33235,4435
2024-12-11,1,0,2140,1887,1277,1824,28800,35529,6729
2024-12-11,1,0,2351,1950,884,12,29105,29551,446
2024-12-11,1,0,1153,1989,1324,1717,29261,31320,2059
2024-12-11,1,0,741,398,2267,510,29263,29355,92
2024-12-11,1,0,562,860,1173,1734,29332,34693,5361
2024-12-11,1,0,2292,385,902,873,29358,32568,3210
2024-12-11,1,0,1806,2145,2498,1435,30006,36716,6710
2024-12-11,1,0,1311,1272,1665,2041,30111,37049,6938
2024-12-11,1,0,2047,1193,1976,1155,30222,37141,6919
2024-12-11,1,0,1921,815,2318,85,30387,30387,0
2024-12-11,1,0,1159,1989,142,226,30461,30461,0
2024-12-11,1,0,1338,1301,2054,563,30485,35073,4588
2024-12-11,1,0,1541,827,2297,333,30764,31841,1077
2024-12-11,1,0,274,1345,1136,1619,30798,37014,6216
2024-12-11,1,0,2449,165,543,534,30914,37084,6170
2024-12-11,1,0,1769,2309,1567,2381,30955,34743,3788
2024-12-11,1,0,79,1049,647,395,30972,32023,1051
2024-12-11,1,0,1738,2319,683,975,31292,31651,359
2024-12-11,1,0,1112,1060,1255,212,31876,37773,5897
2024-12-11,1,0,2494,2417,1937,2299,32400,33566,1166
2024-12-11,1,0,1493,648,373,39,32400,36387,3987
2024-12-11,1,0,2494,90,1377,2047,32440,39109,6669
2024-12-11,1,0,1229,732,836,902,32456,32456,0
2024-12-11,1,0,2487,1884,2094,62,32558,38192,5634
2024-12-11,1,0,1790,793,732,252,32645,37919,5274
2024-12-11,1,0,718,362,1277,2184,32819,39722,6903
2024-12-11,1,0,2225,105,1787,1056,33147,34538,1391
2024-12-11,1,0,164,1984,965,315,33487,37698,4211
2024-12-11,1,0,1325,771,1571,328,33582,34169,587
2024-12-11,1,0,325,672,989,1340,33719,34958,1239
2024-12-11,1,0,492,1922,487,1712,33776,39410,5634
2024-12-11,1,0,861,1994,791,332,34219,38864,4645
2024-12-11,1,0,798,304,51,2294,34236,39742,5506
2024-12-11,1,0,78,229,313,1304,34577,35389,812
2024-12-11,1,0,2143,1757,745,1092,35007,35264,257
2024-12-11,1,0,1399,835,1447,2143,35436,35754,318
2024-12-11,1,0,964,1710,1741,2063,35522,38173,2651
2024-12-11,1,0,516,2328,2360,1237,35656,39190,3534
2024-12-11,1,0,1735,1332,2050,1094,35909,39290,3381
2024-12-11,1,0,295,1304,2055,1464,36000,42793,6793
2024-12-11,1,0,2487,1580,697,2091,36000,42281,6281
2024-12-11,1,0,1208,2281,754,1542,36373,42253,5880
2024-12-11,1,0,2218,400,1612,1856,36498,38131,1633
2024-12-11,1,0,1334,2379,1321,1801,36596,43796,7200
2024-12-11,1,0,1676,1524,225,1589,36937,37442,505
2024-12-11,1,0,881,2199,159,2365,37035,37382,347
2024-12-11,1,0,346,424,467,1075,37240,43001,5761
2024-12-11,1,0,1009,1839,1492,1786,37321,42347,5026
2024-12-11,1,0,701,2341,770,1730,37695,42755,5060
2024-12-11,1,0,1959,2215,2089,1450,37882,42278,4396
2024-12-11,1,0,302,1194,419,546,38074,41330,3256
2024-12-11,1,0,769,73,236,2234,38137,45071,6934
2024-12-11,1,0,1471,2005,2246,325,38362,42161,3799
2024-12-11,1,0,1040,52,1059,2495,38524,43132,4608
2024-12-11,1,0,897,1790,1203,795,38567,43793,5226
2024-12-11,1,0,903,768,1204,1935,38595,42260,3665
2024-12-11,1,0,1037,1330,1458,2289,38849,43254,4405
2024-12-11,1,0,2378,2218,1620,1107,39359,46411,7052
2024-12-11,1,0,1576,2496,935,140,39457,40748,1291
2024-12-11,1,0,2055,2388,543,1720,39600,45073,5473
2024-12-11,1,0,607,736,283,280,39600,42811,3211
2024-12-11,1,0,14,828,1469,2395,40352,42198,1846
2024-12-11,1,0,1952,10,464,1887,40382,45931,5549
2024-12-11,1,0,1710,1015,2292,1437,41208,42393,1185
2024-12-11,1,0,624,1713,2030,474,41787,46732,4945
2024-12-11,1,0,1658,1985,2037,244,41959,45716,3757
2024-12-11,1,0,1977,1718,1984,1818,42071,45863,3792
2024-12-11,1,0,2070,1465,1846,913,42147,47999,5852
2024-12-11,1,0,704,382,2272,225,42418,45079,2661
2024-12-11,1,0,2046,2301,2408,817,42427,49627,7200
2024-12-11,1,0,2246,644,188,1899,42432,46211,3779
2024-12-11,1,0,1715,1349,832,539,42591,43739,1148
2024-12-11,1,0,669,231,745,478,42611,44370,1759
2024-12-11,1,0,16,2344,265,1238,42693,44346,1653
2024-12-11,1,0,167,1654,1065,1386,42764,43713,949
2024-12-11,1,0,479,850,2222,892,42847,46489,3642
2024-12-11,1,0,780,551,1193,2002,42887,50087,7200
2024-12-11,1,0,2179,1220,515,211,42891,45604,2713
2024-12-11,1,0,1299,278,1674,1662,42926,50126,7200
2024-12-11,1,0,2290,1146,972,1042,43200,44270,1070
2024-12-11,1,0,2212,931,1513,1771,43200,47340,4140
2024-12-11,1,0,1410,1728,1758,2234,43409,50017,6608
2024-12-11,1,0,1298,1262,2163,879,43715,45667,1952
2024-12-11,1,0,518,2222,467,1830,43721,47492,3771
2024-12-11,1,0,2245,1069,384,2310,43752,46668,2916
2024-12-11,1,0,120,702,684,959,43803,49460,5657
2024-12-11,1,0,1634,2266,343,1346,44003,46448,2445
2024-12-11,1,0,2316,671,1063,1561,44505,51600,7095
2024-12-11,1,0,2418,1224,1317,998,44916,49285,4369
2024-12-11,1,0,2388,1,127,497,45195,49438,4243
2024-12-11,1,0,2499,223,1836,2260,45237,50088,4851
2024-12-11,1,0,334,2391,2147,2148,45809,46481,672
2024-12-11,1,0,2209,300,232,807,45843,48493,2650
2024-12-11,1,0,2357,753,43,1674,45856,49858,4002
2024-12-11,1,0,844,2357,8,1087,46214,51865,5651
2024-12-11,1,0,1882,2363,160,1281,46245,51499,5254
2024-12-11,1,0,858,1889,47,57,46384,49869,3485
2024-12-11,1,0,1564,1779,1215,1820,46391,50707,4316
2024-12-11,1,0,783,2287,1717,1432,46547,46547,0
2024-12-11,1,0,317,2446,1379,2140,46800,53187,6387
2024-12-11,1,0,2039,238,2493,290,46800,47235,435
2024-12-11,1,0,243,1757,557,2037,46876,51829,4953
2024-12-11,1,0,704,2015,1109,693,46912,53822,6910
2024-12-11,1,0,330,1294,1929,704,47031,47031,0
2024-12-11,1,0,1149,1388,2418,1066,47062,50494,3432
2024-12-11,1,0,1200,993,1065,711,47267,47641,374
2024-12-11,1,0,1142,362,817,1246,47373,47756,383
2024-12-11,1,0,1963,551,2370,442,47871,55070,7199
2024-12-11,1,0,1892,566,170,1881,48628,50667,2039
2024-12-11,1,0,1321,28,1484,563,48803,55757,6954
2024-12-11,1,0,1050,2169,849,1501,48874,48874,0
2024-12-11,1,0,1215,1913,607,894,49071,49218,147
2024-12-11,1,0,1314,16,1406,1899,49572,52020,2448
2024-12-11,1,0,1349,1058,531,795,49687,49992,305
2024-12-11,1,0,1825,519,2341,2169,49864,51033,1169
2024-12-11,1,0,867,1597,473,2035,49934,56602,6668
2024-12-11,1,0,488,631,374,896,50068,54494,4426
2024-12-11,1,0,741,1505,1023,1799,50181,56136,5955
2024-12-11,1,0,2133,1369,1073,1664,50244,57444,7200
2024-12-11,1,0,309,616,381,2364,50400,54004,3604
2024-12-11,1,0,371,854,498,1190,50400,53938,3538
2024-12-11,1,0,507,1293,1659,843,50484,55122,4638
2024-12-11,1,0,780,1685,2342,1461,50491,55798,5307
2024-12-11,1,0,176,167,497,2172,50805,53675,2870
2024-12-11,1,0,2094,2061,1406,1200,50807,50807,0
2024-12-11,1,0,429,109,913,922,50924,51084,160
2024-12-11,1,0,1228,1277,719,2001,51116,56879,5763
2024-12-11,1,0,2277,1523,981,1246,51761,55650,3889
2024-12-11,1,0,1945,1867,1535,1856,51785,51833,48
2024-12-11,1,0,1964,2060,2277,2406,51916,58530,6614
2024-12-11,1,0,386,1693,2303,1043,51922,54327,2405
2024-12-11,1,0,1223,1949,2137,2184,52029,57080,5051
2024-12-11,1,0,397,2189,37,1223,52275,55381,3106
2024-12-11,1,0,525,443,355,2498,52357,56094,3737
2024-12-11,1,0,1268,42,635,804,52417,55237,2820
2024-12-11,1,0,1993,1429,1486,352,52448,55524,3076
2024-12-11,1,0,1216,1972,786,653,52666,58726,6060
2024-12-11,1,0,366,1559,2451,5,52966,52966,0
2024-12-11,1,0,893,277,858,1929,53248,57945,4697
2024-12-11,1,0,125,1532,1811,2235,54000,55949,1949
2024-12-11,1,0,1802,939,220,2394,54000,57722,3722
2024-12-11,1,0,2495,2112,1244,1508,54017,56167,2150
2024-12-11,1,0,1197,380,1852,871,54491,55443,952
2024-12-11,1,0,1815,728,16,1244,54738,61569,6831
2024-12-11,1,0,283,835,2235,641,54822,59370,4548
2024-12-11,1,0,174,2436,99,844,55129,58444,3315
2024-12-11,1,0,96,1521,2082,2368,55223,59346,4123
2024-12-11,1,0,912,1148,424,182,55532,58874,3342
2024-12-11,1,0,1839,1767,825,105,55745,61002,5257
2024-12-11,1,0,21,1566,1038,234,56160,60308,4148
2024-12-11,1,0,1263,1547,2434,176,56464,63183,6719
2024-12-11,1,0,1674,2173,2243,2347,56468,58705,2237
2024-12-11,1,0,165,2148,2075,2379,56491,59018,2527
2024-12-11,1,0,2312,449,818,1553,56550,62880,6330
2024-12-11,1,0,293,70,2407,139,56916,59673,2757
2024-12-11,1,0,2407,1971,2073,2205,56959,62619,5660
2024-12-11,1,0,1725,786,1950,511,56980,56980,0
2024-12-11,1,0,973,753,1749,1062,57242,59589,2347
2024-12-11,1,0,82,1331,1618,1801,57313,62160,4847
2024-12-11,1,0,2239,1252,977,1579,57600,64800,7200
2024-12-11,1,0,983,789,2438,1686,57600,61799,4199
2024-12-11,1,0,930,904,2434,2130,57671,64221,6550
2024-12-11,1,0,1049,2051,754,1854,57878,63338,5460
2024-12-11,1,0,432,1745,2182,1227,57890,58923,1033
2024-12-11,1,0,1549,1748,525,1098,58059,63617,5558
2024-12-11,1,0,915,1669,1229,2489,58176,60234,2058
2024-12-11,1,0,181,1680,2048,2298,58237,59114,877
2024-12-11,1,0,724,1895,88,403,58286,64942,6656
2024-12-11,1,0,1141,1415,2277,2246,58417,58893,476
2024-12-11,1,0,1893,1361,120,1577,58500,59922,1422
2024-12-11,1,0,2394,1882,2236,1701,58610,58610,0
2024-12-11,1,0,164,1036,1193,2471,58685,59211,526
2024-12-11,1,0,1154,41,195,1437,59322,59683,361
2024-12-11,1,0,1512,568,1575,1209,59348,60195,847
2024-12-11,1,0,280,467,2265,1547,59366,66566,7200
2024-12-11,1,0,1668,279,1622,1205,59442,66068,6626
2024-12-11,1,0,719,1508,1417,2477,59604,63201,3597
2024-12-11,1,0,8,424,856,297,59799,63559,3760
2024-12-11,1,0,2352,1030,1700,935,59891,66918,7027
2024-12-11,1,0,2156,563,205,2253,61200,68017,6817
2024-12-11,1,0,1972,1696,2381,1384,61200,62842,1642
2024-12-11,1,0,769,1208,1058,943,61657,66878,5221
2024-12-11,1,0,865,2348,363,542,62339,67088,4749
2024-12-11,1,0,1919,2298,705,2036,62424,65031,2607
2024-12-11,1,0,1108,71,2158,1680,62504,67342,4838
2024-12-11,1,0,1666,1429,1096,1499,62530,66965,4435
2024-12-11,1,0,1593,412,492,1225,62723,62723,0
2024-12-11,1,0,2082,1122,1076,447,62901,66777,3876
2024-12-11,1,0,1436,204,1236,1126,63230,64778,1548
2024-12-11,1,0,2480,1786,2484,718,63247,63704,457
2024-12-11,1,0,1671,404,1690,14,63362,67803,4441
2024-12-11,1,0,484,2216,1237,1843,63507,68801,5294
2024-12-11,1,0,1923,1431,1016,1430,63553,68564,5011
2024-12-11,1,0,278,1741,993,1544,63584,69161,5577
2024-12-11,1,0,1548,1040,1905,736,63911,67111,3200
2024-12-11,1,0,410,2317,2025,1322,63921,66763,2842
2024-12-11,1,0,902,589,1078,1233,64026,70291,6265
2024-12-11,1,0,1966,1198,1172,1792,64047,69510,5463
2024-12-11,1,0,239,285,2348,1617,64149,68998,4849
2024-12-11,1,0,612,2423,750,206,64800,68171,3371
2024-12-11,1,0,1753,61,953,2449,64800,69140,4340
2024-12-11,1,0,2401,1582,249,1017,64888,65319,431
2024-12-11,1,0,26,293,316,139,64895,65903,1008
2024-12-11,1,0,572,552,2432,2434,65202,69318,4116
2024-12-11,1,0,1334,289,1370,1931,65229,72047,6818
2024-12-11,1,0,2085,1295,1745,182,65443,72498,7055
2024-12-11,1,0,507,927,1271,2111,65722,66695,973
2024-12-11,1,0,679,1660,1444,1802,65954,73154,7200
2024-12-11,1,0,536,1423,1546,1303,66688,73721,7033
2024-12-11,1,0,2166,584,2208,328,66713,66713,0
2024-12-11,1,0,546,788,1655,2214,67177,73256,6079
2024-12-11,1,0,2305,1521,1799,31,67184,72747,5563
2024-12-11,1,0,694,1473,893,1910,67360,73809,6449
2024-12-11,1,0,676,1511,511,2217,67479,73466,5987
2024-12-11,1,0,1605,2125,2089,2446,67649,73685,6036
2024-12-11,1,0,179,1518,31,2233,67754,74342,6588
2024-12-11,1,0,805,863,606,617,67802,70417,2615
2024-12-11,1,0,2328,1142,1250,3,67807,67807,0
2024-12-11,1,0,694,2176,497,2420,67974,70789,2815
2024-12-11,1,0,1785,921,1280,9,68400,73038,4638
2024-12-11,1,0,675,639,1026,1439,68400,75062,6662
2024-12-11,1,0,1115,1374,227,910,68870,74020,5150
2024-12-11,1,0,339,1778,900,1148,68875,73124,4249
2024-12-11,1,0,1283,205,1419,1677,69281,70776,1495
2024-12-11,1,0,2036,948,1632,1267,69370,70441,1071
2024-12-11,1,0,2483,580,2300,2218,69748,71195,1447
2024-12-11,1,0,1768,1808,381,946,69959,75355,5396
2024-12-11,1,0,1297,2221,1756,208,70743,71133,390
2024-12-11,1,0,2309,404,2482,2379,70999,70999,0
2024-12-11,1,0,67,2097,2152,1274,71080,78280,7200
2024-12-11,1,0,1161,139,1519,1062,71205,71205,0
2024-12-11,1,0,1821,161,1296,1951,71290,76111,4821
2024-12-11,1,0,404,2107,2302,1381,71371,77956,6585
2024-12-11,1,0,176,2026,2030,579,71426,78082,6656
2024-12-11,1,0,2070,890,2243,817,71549,77637,6088
2024-12-11,1,0,2058,2211,1872,2449,71754,76679,4925
2024-12-11,1,0,709,869,2152,1384,71812,72681,869
2024-12-11,1,0,678,771,693,374,71946,74414,2468
2024-12-11,1,0,1391,362,468,20,71968,77631,5663
2024-12-11,1,0,2133,592,2151,2338,72000,74203,2203
2024-12-11,1,0,326,1573,239,1829,72000,76083,4083
2024-12-11,1,0,1868,1316,1929,1388,72084,76487,4403
2024-12-11,1,0,601,931,2372,773,72164,73488,1324
2024-12-11,1,0,868,87,755,603,72220,79420,7200
2024-12-11,1,0,1368,67,319,962,72512,77414,4902
2024-12-11,1,0,1199,41,208,133,72909,73177,268
2024-12-11,1,0,413,997,1414,969,73569,74366,797
2024-12-11,1,0,2276,1105,283,2114,73634,74356,722
2024-12-11,1,0,165,1132,193,2011,74098,81112,7014
2024-12-11,1,0,2400,1878,1159,312,74313,75262,949
2024-12-11,1,0,1996,1972,1292,2,74467,81667,7200
2024-12-11,1,0,527,280,237,2241,74505,77780,3275
2024-12-11,1,0,564,1534,352,1912,74539,79213,4674
2024-12-11,1,0,194,1546,1907,237,74564,81764,7200
2024-12-11,1,0,722,1461,2044,1315,74915,76581,1666
2024-12-11,1,0,1724,1319,2349,1576,74962,77267,2305
2024-12-11,1,0,1345,1412,2103,546,75045,78537,3492
2024-12-11,1,0,367,2006,350,1658,75138,80726,5588
2024-12-11,1,0,835,1337,1260,1242,75345,79225,3880
2024-12-11,1,0,674,828,1194,64,75600,82650,7050
2024-12-11,1,0,929,2464,1959,1489,75600,78518,2918
2024-12-11,1,0,857,1631,1717,2478,75791,82565,6774
2024-12-11,1,0,385,2096,1581,878,75889,79520,3631
2024-12-11,1,0,2160,517,324,616,75978,80292,4314
2024-12-11,1,0,202,512,814,2318,76289,76685,396
2024-12-11,1,0,1906,2254,1495,2489,76520,79266,2746
2024-12-11,1,0,1776,1833,2495,1023,77099,84299,7200
2024-12-11,1,0,864,2082,44,2387,77180,77639,459
2024-12-11,1,0,569,60,2048,2374,77608,84280,6672
2024-12-11,1,0,2322,2388,2434,1202,77883,80832,2949
2024-12-11,1,0,1243,1680,2131,448,77966,80151,2185
2024-12-11,1,0,338,1513,1896,1566,78148,84541,6393
2024-12-11,1,0,1766,1948,91,2295,78212,85412,7200
2024-12-11,1,0,2056,628,1032,297,78601,79020,419
2024-12-11,1,0,696,90,1002,1409,78623,79724,1101
2024-12-11,1,0,285,2403,1153,1415,78668,83091,4423
2024-12-11,1,0,1980,958,1337,1461,78706,80695,1989
2024-12-11,1,0,225,1881,1619,972,78803,81819,3016
2024-12-11,1,0,2078,187,1796,2134,79059,85951,6892
2024-12-11,1,0,2021,879,868,548,79200,86399,7199
2024-12-11,1,0,280,1909,1846,1953,79200,81894,2694
2024-12-11,1,0,332,1511,1698,1566,79238,79670,432
2024-12-11,1,0,1099,1901,179,1584,79261,85209,5948
2024-12-11,1,0,1979,230,1909,1884,79606,81316,1710
2024-12-11,1,0,1253,619,347,973,79735,86821,7086
2024-12-11,1,0,162,1466,775,800,80169,83110,2941
2024-12-11,1,0,2242,288,231,245,80437,80437,0
2024-12-11,1,0,2494,576,1181,444,80544,86493,5949
2024-12-11,1,0,2075,1087,1796,1607,80639,82204,1565
2024-12-11,1,0,1784,331,432,2183,80786,86151,5365
2024-12-11,1,0,679,1869,1365,715,81231,84172,2941
2024-12-11,1,0,1022,473,257,2139,81502,84641,3139
2024-12-11,1,0,738,247,1524,485,81503,83655,2152
2024-12-11,1,0,2266,2457,2282,1856,81743,88615,6872
2024-12-11,1,0,369,1650,638,1606,82254,86100,3846
2024-12-11,1,0,99,2335,2109,2495,82505,87960,5455
2024-12-11,1,0,1714,2262,1064,986,82545,86183,3638
2024-12-11,1,0,2,1150,283,112,82679,84498,1819
2024-12-11,1,0,1888,128,470,736,82709,85630,2921
2024-12-11,1,0,2335,2107,803,1221,82800,88786,5986
2024-12-11,1,0,1165,913,849,411,82800,87513,4713
2024-12-11,1,0,1185,648,1853,1950,82868,86616,3748
2024-12-11,1,0,2255,1795,2158,2071,83039,87372,4333
2024-12-11,1,0,2076,1279,956,2075,83340,89380,6040
2024-12-11,1,0,1515,977,349,159,83656,90435,6779
2024-12-11,1,0,2279,1202,993,985,83740,89391,5651
2024-12-11,1,0,888,238,1056,184,84033,88493,4460
2024-12-11,1,0,1210,301,735,1454,84298,86115,1817
2024-12-11,1,0,771,1507,2424,1243,84328,87232,2904
2024-12-11,1,0,1223,2485,1445,856,84728,88426,3698
2024-12-11,1,0,386,364,1814,1596,84844,89789,4945
2024-12-11,1,0,1938,185,1273,386,84977,85069,92
2024-12-11,1,0,2141,677,2456,672,85095,89916,4821
2024-12-11,1,0,986,1858,785,706,85262,89274,4012
2024-12-11,1,0,1596,1147,2188,327,85455,89890,4435
2024-12-11,1,0,1142,2180,797,2208,85592,92116,6524
2024-12-11,1,0,1309,1298,1477,615,85993,92181,6188
2024-12-11,1,0,1859,1001,1264,1567,86190,89106,2916
2024-12-11,1,0,1304,1615,160,2298,86292,88284,1992
